step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
58,8986,58,0.1602689316670855,0.0,0.8541666666666666
59,9099,59,0.19842660214011468,0.0,0.7931034482758621
60,9228,60,0.3829154487816211,0.0,0.75
61,9389,61,0.37411888880082445,0.0,0.6739130434782609
62,9510,62,0.2908861362952977,0.0,0.7804878048780488
63,9679,63,0.31382045274254317,0.0,0.7450980392156863
64,9792,64,0.33570983455602527,0.0,0.5357142857142857
65,9993,65,0.14447108683908683,0.0,0.9090909090909091
66,10114,66,0.19095805172465952,0.0,0.8666666666666667
67,10275,67,0.1801407699545978,0.0,0.8636363636363636
68,10436,68,0.27529048561793495,0.0,0.7608695652173914
69,10565,69,0.21659946373013045,0.0,0.8163265306122449
70,10662,70,0.11314807009211687,0.0,0.9130434782608695
71,10855,71,0.25062089860052744,0.0,0.717391304347826
72,10984,72,0.2806179921789796,0.0,0.8541666666666666
73,11169,73,0.26269987723789423,0.0,0.7887323943661971
74,11298,74,0.08678411360895907,0.0,0.9117647058823529
75,11435,75,0.30409843131385067,0.0,0.7727272727272727
76,11628,76,0.2563649915155715,0.0,0.8260869565217391
77,11805,77,0.14587980425685548,0.0,0.84
78,11998,78,0.15808998392846763,0.0,0.8148148148148148
79,12135,79,0.16976593815566518,0.0,0.8
80,12272,80,0.5667945419207681,0.0,0.7166666666666667
81,12433,81,0.1027957728451757,0.0,0.9444444444444444
82,12610,82,0.3677418967970491,0.0,0.7321428571428571
83,12723,83,0.1512068930784798,0.0,0.7931034482758621
84,12924,84,0.18847437215858986,0.0,0.8666666666666667
85,13077,85,0.1774906923132159,0.0,0.8620689655172413
86,13198,86,0.2192107519137738,0.0,0.8181818181818182
87,13367,87,0.11304065123937611,0.0,0.8863636363636364
88,13496,88,0.1784517680781703,0.0,0.8
89,13673,89,0.0919164222399342,0.0,0.8958333333333334
90,13826,90,0.16457401019817605,0.0,0.85
91,13971,91,0.23568106504638592,0.0,0.8431372549019608
92,14140,92,0.11171947491086981,0.0,0.9180327868852459
93,14285,93,0.2906167090219043,0.0,0.7704918032786885
94,14430,94,0.1062097377257425,0.0,0.9302325581395349
95,14551,95,0.2128340979164428,0.0,0.8292682926829268
96,14696,96,0.16632362496112255,0.0,0.8775510204081632
97,14849,97,0.5146663651778248,0.0,0.7454545454545455
98,15018,98,0.10726472665552632,0.0,0.9272727272727272
99,15195,99,0.12669061414293015,0.0,0.896551724137931
100,15324,100,0.15508154605572858,0.0,0.8
101,15445,101,0.10821477398016886,0.0,0.8823529411764706
102,15582,102,0.21680726876609163,0.0,0.8163265306122449
103,15775,103,0.2314081624737534,0.0,0.8767123287671232
104,15928,104,0.050017885151312176,0.0,0.9555555555555556
105,16097,105,0.10524113404638182,0.0,0.9038461538461539
106,16234,106,0.23256647960481272,0.0,0.8157894736842105
107,16411,107,0.13662543967546714,0.0,0.8478260869565217
108,16540,108,0.1760944538999513,0.0,0.8837209302325582
109,16725,109,0.3610775818402183,0.0,0.6964285714285714
110,16902,110,0.10824554008632065,0.0,0.8571428571428571
111,17015,111,0.21850755393208948,0.0,0.8181818181818182
112,17184,112,0.06607560837434612,0.0,0.9622641509433962
113,17353,113,0.23587359608847577,0.0,0.7450980392156863
114,17466,114,0.18474758158367388,0.0,0.8214285714285714
115,17611,115,0.2547839146762258,0.0,0.8333333333333334
116,17780,116,0.13880664664162368,0.0,0.8372093023255814
117,17989,117,0.1683462634569083,0.0,0.8589743589743589
118,18158,118,0.12484682642738071,0.0,0.8958333333333334
119,18295,119,0.25838219885344726,0.0,0.8431372549019608
120,18472,120,0.1756989234148638,0.0,0.8857142857142857
121,18617,121,0.29974980536412044,0.0,0.7857142857142857
122,18730,122,0.07952916944248772,0.0,0.9285714285714286
123,18851,123,0.10658436688073046,0.0,0.84375
124,18988,124,0.1886311017236179,0.0,0.8541666666666666
125,19173,125,0.07263941583007522,0.0,0.875
126,19302,126,0.40574207923972655,0.0,0.7272727272727273
127,19463,127,0.12635663891203408,0.0,0.8717948717948718
128,19584,128,0.20133102693222574,0.0,0.8333333333333334
129,19705,129,0.0652435904629525,0.0,0.90625
130,19882,130,0.10909601402448808,0.0,0.9285714285714286
131,20027,131,0.09238952225537396,0.0,0.9591836734693877
132,20196,132,0.08358211362532388,0.0,0.9069767441860465
133,20381,133,0.16618339952151406,0.0,0.8591549295774648
134,20542,134,0.21634925324306942,0.0,0.8695652173913043
135,20711,135,0.07705247669840709,0.0,0.9508196721311475
136,20872,136,0.046533659359334026,0.0,0.9629629629629629
137,21025,137,0.3501886799079423,0.0,0.8
138,21162,138,0.16305666507328753,0.0,0.7954545454545454
139,21355,139,0.19086403231395935,0.0,0.8260869565217391
140,21532,140,0.021764127154568127,0.0,0.9795918367346939
141,21693,141,0.07728106932881612,0.0,0.9090909090909091
142,21886,142,0.14193553372564377,0.0,0.9041095890410958
143,22031,143,0.15979058685263073,0.0,0.8888888888888888
144,22208,144,0.07514639694842405,0.0,0.94
145,22337,145,0.1383787530974292,0.0,0.8775510204081632
146,22490,146,0.11288921510559866,0.0,0.896551724137931
147,22683,147,0.08960606264698158,0.0,0.9074074074074074
148,22852,148,0.039061361804386845,0.0,0.9772727272727273
149,22981,149,0.29329489976071205,0.0,0.7954545454545454
150,23134,150,0.03578495298721718,0.0,0.9555555555555556
151,23271,151,0.11488643415472297,0.0,0.8857142857142857
152,23448,152,0.10729676502761651,0.0,0.8913043478260869
153,23585,153,0.16318388545712412,0.0,0.8421052631578947
154,23706,154,0.1474558560118976,0.0,0.8484848484848485
155,23891,155,0.2427137197630393,0.0,0.7678571428571429
156,24092,156,0.08998149971936614,0.0,0.9272727272727272
157,24237,157,0.14044845182171029,0.0,0.8823529411764706
158,24334,158,0.045855241513741485,0.0,0.9565217391304348
159,24463,159,0.06446899880539332,0.0,0.8823529411764706
160,24672,160,0.11466927197093389,0.0,0.9102564102564102
161,24785,161,0.029825615655331192,1.0,1.0
162,24930,162,0.053934860873877874,0.0,0.9767441860465116
163,25099,163,0.13571050714967284,0.0,0.8627450980392157
164,25228,164,0.10450570952556482,0.0,0.9302325581395349
165,25381,165,0.1002238310864817,0.0,0.875
166,25526,166,0.17027866193186225,0.0,0.8928571428571429
167,25655,167,0.09475958896815413,0.0,0.92
168,25784,168,0.1838867539293348,0.0,0.8541666666666666
169,25921,169,0.10191664390062967,0.0,0.8958333333333334
170,26090,170,0.021489217927039984,1.0,1.0
171,26227,171,0.19882530536730425,0.0,0.8235294117647058
172,26356,172,0.0926308782657281,0.0,0.9
173,26493,173,0.4194445489574658,0.0,0.7666666666666667
174,26606,174,0.07520209974983012,0.0,0.8928571428571429
175,26775,175,0.045032661447420026,0.0,0.9818181818181818
176,26952,176,0.26513087272774105,0.0,0.7857142857142857
177,27073,177,0.1290510837878437,0.0,0.9024390243902439
178,27218,178,0.19904214034848544,0.0,0.8360655737704918
179,27395,179,0.06642718917301957,0.0,0.9310344827586207
180,27508,180,0.10781681718314313,0.0,0.9090909090909091
181,27645,181,0.12473182709634173,0.0,0.9183673469387755
182,27758,182,0.10582224136526468,0.0,0.896551724137931
183,27879,183,0.05706459586201724,0.0,0.9411764705882353
184,28072,184,0.11531672342687278,0.0,0.8478260869565217
185,28193,185,0.10733690971423608,0.0,0.8888888888888888
186,28394,186,0.09733195689494759,0.0,0.9066666666666666
187,28555,187,0.09830228566752063,0.0,0.8974358974358975
188,28724,188,0.07736465030552377,0.0,0.9166666666666666
189,28901,189,0.0563334930864842,0.0,0.9583333333333334
190,29022,190,0.10079924690870996,0.0,0.9111111111111111
191,29207,191,0.028928235412900002,0.0,0.95
192,29376,192,0.046195001861057565,0.0,0.9615384615384616
193,29505,193,0.06755814989230088,0.0,0.9534883720930233
194,29650,194,0.022251295004804914,1.0,1.0
195,29771,195,0.08247011541934007,0.0,0.8787878787878788
196,29916,196,0.08408475715502801,0.0,0.9464285714285714
197,30077,197,0.13002352979134588,0.0,0.8913043478260869
198,30198,198,0.07590633679919576,0.0,0.9555555555555556
199,30319,199,0.07547204782388503,0.0,0.9512195121951219
200,30496,200,0.03751249546536398,0.0,0.9827586206896551
201,30705,201,0.06584719215440922,0.0,0.9743589743589743
202,30834,202,0.18888420853822305,0.0,0.8636363636363636
203,31027,203,0.0732054597334788,0.0,0.8913043478260869
204,31156,204,0.035064153369301,0.0,0.9411764705882353
205,31309,205,0.04762301290195995,0.0,0.975
206,31486,206,0.029017043393878558,0.0,0.9791666666666666
207,31631,207,0.10973325458482214,0.0,0.9344262295081968
208,31776,208,0.08467906713172024,0.0,0.9444444444444444
209,31953,209,0.05989331141430341,0.0,0.9571428571428572
210,32122,210,0.03431032948428473,0.0,0.9615384615384616
211,32235,211,0.05715273036917769,0.0,0.9393939393939394
212,32428,212,0.0433773424165276,0.0,0.9814814814814815
213,32605,213,0.03998241929624516,0.0,0.98
214,32798,214,0.07519016006938642,0.0,0.9452054794520548
215,32943,215,0.08801360639954749,0.0,0.9607843137254902
216,33072,216,0.0695399737190947,0.0,0.96
217,33201,217,0.03868936555519732,1.0,1.0
218,33338,218,0.13180543065643183,0.0,0.9019607843137255
219,33507,219,0.019008881416134445,1.0,1.0
220,33620,220,0.02098588221836038,1.0,1.0
221,33757,221,0.2954628454138444,0.0,0.85
222,33910,222,0.01819331743269583,1.0,1.0
223,34111,223,0.04408366861720516,0.0,0.9636363636363636
224,34240,224,0.051769983292025507,0.0,0.9333333333333333
225,34353,225,0.03356036855887758,1.0,1.0
226,34538,226,0.022663290077914358,1.0,1.0
227,34675,227,0.08882957308854827,0.0,0.9387755102040817
228,34844,228,0.018591529462585854,1.0,1.0
229,35021,229,0.05554671215588433,0.0,0.9130434782608695
230,35158,230,0.10401043959675275,0.0,0.8947368421052632
231,35343,231,0.15232457675071437,0.0,0.8214285714285714
232,35512,232,0.02608985681511453,1.0,1.0
233,35681,233,0.07785009224420093,0.0,0.9215686274509803
234,35818,234,0.06094600621191507,0.0,0.9772727272727273
235,35995,235,0.22958873884586276,0.0,0.8214285714285714
236,36132,236,0.04145153294714992,0.0,0.9791666666666666
237,36253,237,0.019476351243274476,1.0,1.0
238,36374,238,0.028382846357447766,0.0,0.9705882352941176
239,36487,239,0.06576246960007219,0.0,0.9310344827586207
240,36584,240,0.0269520794903992,0.0,0.9565217391304348
241,36753,241,0.05375281748932657,0.0,0.9375
242,36914,242,0.03274678676724643,0.0,0.9545454545454546
243,37083,243,0.047593523654808824,0.0,0.9534883720930233
244,37212,244,0.1163898055730899,0.0,0.9375
245,37381,245,0.012428085574348982,1.0,1.0
246,37502,246,0.07778510290568628,0.0,0.9166666666666666
247,37655,247,0.2156362981310561,0.0,0.8727272727272727
248,37848,248,0.10221096486341272,0.0,0.9130434782608695
249,38009,249,0.01607349115663169,1.0,1.0
250,38170,250,0.08275545412088392,0.0,0.9230769230769231
251,38355,251,0.08476867138298541,0.0,0.9436619718309859
252,38500,252,0.05816998698600548,0.0,0.9591836734693877
253,38677,253,0.013770800250646375,1.0,1.0
254,38830,254,0.05461544704519483,0.0,0.9655172413793104
255,39031,255,0.056248964556993596,0.0,0.9733333333333334
256,39168,256,0.054274975717306356,0.0,0.9428571428571428
257,39353,257,0.08501804384201601,0.0,0.9436619718309859
